dish_name,description,spice,views,rating,number_of_votes,serves,dietary_info,ingredients,instructions,prep_time,cook_time
Jeera Aloo,Cumin Potatoes,medium,95509,3.6,70.0,6.0,['VEGETARIAN'],"['4 potatoes, boiled and cubed', '2 tbsp vegetable oil', '1 tbsp coriander seeds', '2 tsp cumin seeds', '2 green chillies, slit lengthways', '3cm fresh ginger, sliced very thinly', '1 tsp red chilli powder', '¼\xa0tsp turmeric powder', 'salt to taste', '2 tsp mango powder (amchoor powder)', 'handful of coriander leaves, chopped']","['Boil the potatoes gently with the skin on for about 10 minutes. Once cooled peel and cut them into 4cm cubes and set to one side.', 'Dry roast the coriander seeds and 1 tsp of cumin seeds until fragrant then remove from the heat and cool before crushing.', 'Heat oil and add remaining cumin seeds once sizzling and fragrant, stir in the sliced green chillies and sliced ginger. Saute for a few seconds, reduce the heat and then add the roasted spice powder, turmeric powder, chilli powder and salt.', 'Add the boiled and cubed potatoes. Mix well so that it is well coated with the seasoning.', ""Cook on a gentle heat for 10 minutes stirring occasionally - you don't want them to turn into mash."", 'Add the amchoor powder and garnish with coriander leaves.']",15,10
Cabbage Thoran,Cabbage Curry,hot,58451,4.3,30.0,4.0,['VEGETARIAN'],"['3 tbsp coconut oil', '2 tsp black mustard seeds', '2 tbsp chopped, fresh curry leaves', '1 tsp cumin seeds', '2 dried Kashmiri chillies, each broken into smaller pieces', '5cm ginger piece, finely grated', '½ tsp turmeric', '1 tsp salt', '½ tsp ground black pepper', '250g cabbage, shredded', '2 fresh green chillies, sliced', '100g fresh coconut, grated']","['Heat the oil in a large saucepan or karahi. When it is hot, add the mustard seeds followed by the curry leaves, cumin seeds and dried chillies.', 'Stir for about 30 seconds, then add the grated ginger, turmeric, salt and black pepper and fry for 30 seconds.', 'Stir in the cabbage and cook over a medium heat for 5-7 minutes. You may need to add a splash of water.', 'Once the cabbage is tender, stir in the green chillies and coconut. Heat through for a few minutes and serve.', 'Perfect with some fresh boiled rice.']",10,20
Keralan Fish Curry,South Indian fish curry,hot,146307,3.7,137.0,6.0,['LACTOSE-FREE'],"['750g firm white fish cut into chunks', '½\xa0tsp turmeric', '½\xa0tsp salt', '1 tbsp Coconut oil', '1 tsp mustard seeds', '20 curry leaves', '5 shallots, finely sliced', '4 garlic cloves, finely sliced', '3cm piece of ginger, finely sliced', '1-2 green chilli, finely sliced', '1 tbsp Kashmiri chilli powder (this can be reduced to suit your taste, if unsure use 1tsp)', '½\xa0tsp turmeric', '4 tomatoes, chopped', '400ml tin coconut milk', 'Handful coriander, chopped']","['Coat the fish in salt and turmeric', 'Heat a tbsp of coconut oil in a shallow large based pan.', 'Add the mustard seeds with the curry leaves till the seeds start to pop.', 'Add the sliced shallots, garlic, ginger and chilli, and cook on a medium heat for 5 minutes, till softened.', 'Mix together the chilli powder and turmeric with a splash of water to make a paste (this stops the turmeric burning), and then stir into the pan.', 'Add the coconut milk and heat through. When you are ready to serve add the chopped tomatoes and stir in the fish. Cook on a gentle heat for about 5 minutes until the fish is cooked through.', 'Check the seasoning then sprinkled with fresh chopped coriander and some with fragrant basmati rice.']",10,15
Masala Machchi,Spiced Salmon,medium,36662,3.4,25.0,2.0,['LACTOSE-FREE'],['2 pieces of salmon'],['Heat oven to 180°C.'],10,10
Mixed Vegetable Sabjee,Mixed Vegetable Curry,medium,80099,3.4,59.0,4.0,['VEGETARIAN'],"['1 potato, diced', '1 pepper, diced', '5 mushrooms, quatered', '1 carrot, diced', '50g frozen peas', '2 tbsp mustard oil', '1 tsp mustard seeds', '1 tsp cumin seeds', '1 onion, finely diced', '200g tomatoes', '2 garlic cloves, finely chopped', '1 tbsp ginger, grated', '1 tsp salt', '1 tsp turmeric', '1 tsp dried fenugreek leaves', '1 chilli, finely chopped', '1 tsp garam masala', 'handful of fresh coriander, chopped']","['Heat the oil in a karahi or wok and add the mustard seeds, when sizzling add the cumin seeds until fragrant.', 'Add the onions and garlic then fry until soft and lightly browned (about 10 minutes)', 'Reduce the heat and add the tomatoes, ginger, salt, turmeric, chilli and fenugreek. Continue to cook so the onions and tomatoes melt together to create a thick, aromatic masala paste.', 'Add the chopped vegetables and stir to coat with the sauce.', 'Reduce the heat cover the pan with the lid and leave to cook for about 10-20 minutes, stirring occasionally until the vegetables are cooked through.', 'Once cooked sprinkle with garam masala and fresh coriander before serving.']",10,20
Simply Spiced Seasonal Vegetables,Tarkari Handi,medium,45972,3.8,34.0,4.0,['VEGETARIAN'],"['1 tbsp oil', '1 tsp cumin seeds', '4 mushrooms, sliced', '5 florets cauliflower', '5 florets\xa0broccoli', '6 baby corn, chopped into 3 pieces', '5 asparagus, chopped into 3 pieces', '10 green beans, chopped into 3 pieces', '1 tsp butter', 'handful spinach', 'salt to taste', 'pinch of crushed black pepper', 'juice half a lemon']","['Heat water in a pan and blanch the cauliflower, broccoli, baby corn, asparagus and green beans for a minute or so just to soften. Remove and run under cold water.', 'Heat oil in a frying pan and add cumin seeds.', 'Once fragrant add the mushrooms and saute for just a minute.', 'Add the remaining vegetables except the spinach.', 'Toss the vegetables to heat thoroughly for a few minutes.', 'Add the butter then add the spinach. Toss all the vegetables\xa0together.', 'Add a little salt and crushed black pepper.', 'Squeeze in a little lemon juice and remove from the heat, check the seasoning and serve.']",20,10
Aloo Gobi,Potato Cauliflower Vegetable Curry,medium,164413,3.9,102.0,4.0,['VEGETARIAN'],"['1 small cauliflower', '2 potatoes, peeled cut into 4cm cubes', '2 tbsp mustard oil', '1 tsp mustard seeds', '1 tsp\xa0cumin seeds', '1 onion, finely chopped', '2 cloves garlic, finely chopped', '200g/½\xa0tin tomatoes', '1 tbsp ginger, grated', '1 tsp\xa0salt', '1 tsp\xa0turmeric', '1 chilli, finely chopped', '1 tsp\xa0dried fenugreek', '1 tsp\xa0garam masala', 'Handful chopped fresh coriander']","[""Prepare your cauliflower by cutting into florets, wash and drain. Ensure it's thoroughly dry before cooking."", 'Heat the oil in a karahi and add the mustard seeds. Once sizzling add the cumin seeds.', 'Add the onions and garlic then fry until soft and lightly browned.', 'Once browned reduce the heat a little and add the tomatoes, ginger, salt, turmeric, chilli and dried fenugreek leaves.', 'Continue to cook so the onions and tomatoes melt together to create a thick, aromatic masala paste.', 'Add the potatoes and stir to coat with the sauce.', 'Reduce the heat, cover the pan with the lid and leave to cook for 10 minutes, stirring occasionally.', 'Add the cauliflower and stir into the sauce to coat. Replace lid and leave to cook for a further 25-30 minutes until cooked.', ""Turn the vegetables occasionally but do not stir too vigorously as you don't want the cauliflower or potato to turn mushy. Once cooked sprinkle with garam masala and fresh coriander before serving.""]",10,30
Ajwainy Monkfish,Fish in a carom spiced yoghurt,medium,34441,4.0,20.0,4.0,['WHEAT-FREE'],"['500g monkfish, in thick chunks']","['Put the ginger and garlic into a pestle and mortar and crush them to a paste.', 'Mix this and all the remaining ingredients for the first marinade in a large bowl and add the pieces of monkfish. Leave this for half an hour while you prepare the second marinade.']",5,10
Aloo Muttar,Pea and Potato Curry,medium,65456,3.8,66.0,4.0,['VEGETARIAN'],"['1 tbsp oil for cooking', '1 onion, finely chopped', '3 garlic cloves, chopped', '3cm piece of ginger, grated', '250g tinned plum tomatoes', '1 green chilli, finely chopped', '1 tsp salt', '1 tsp fenugreek powder (methi)', '1 tsp turmeric', '1 tsp chilli powder', '1 or 2 potatoes, peeled and chopped into 3cm cubes', '200g frozen peas', '1 tsp garam masala', 'Handful of fresh coriander, chopped']","['Heat oil and add onion and after a few minutes stir in the garlic. Cook for about 10 minutes until the onions are soft and turning golden.', 'When the onions are cooked add the tomatoes (which you can whizz up before hand), grated ginger, salt, turmeric, fenugreek and chilli.', 'Stir together and cook the sauce until the tomatoes and onion melt together creating a thick masala paste.', 'Once it is thick and shiny add the pototes. Stir to coat them in the sauce then put the lid on the pan and reduce the heat. Leave to cook for 5-10 minutes before adding the frozen peas.', ""Leave to cook for another 10 minutes until the potatoes are soft. (Note: if your potatoes stick just add a splash of water. Don't stir too much as you dont want the potatoes to mash)."", 'Pour in enough hot water to get the consistency you want. Sprinkle with garam masala and fresh coriander and serve with roti or rice.']",10,20
Aloo Tama Bodi,Black eyed bean and bamboo shoot stew,mild,3981,3.1,8.0,4.0,['VEGETARIAN'],"['2 tbsp ghee or oil', '1 onion, finely chopped', '2 garlic cloves, minced', '5cm piece of ginger, grated', '1 tsp coriander seeds, crushed', '1 green chilli (optional)', '½\xa0tsp red chilli powder', '½\xa0tsp turmeric', '200g red lentils, washed', '700ml water', '1\xa0tsp salt']","['Heat the ghee or oil in a large frying pan and cook the onions until translucent but not brown.', 'Turn the heat to low and add in the garlic, ginger, chopped chilli (if using) crushed coriander seeds, red chilli powder and turmeric. Stir to combine for about 3 minutes or so.', 'Add the red lentils and mix with the onion mixture.', 'Pour thd water in and bring it to a boil, add the salt and reduce heat to a simmer for about 15 minutes or until the lentils are tender.', 'Remove from the heat and stir in the fresh coriander.']",10,20
Amchoor Stuffed Bangun,Spice Stuffed Baby Aubergines,medium,28613,4.9,9.0,4.0,['VEGETARIAN'],"['1 tsp coriander seeds, crushed', '½ tsp cumin seeds crushed', '½ tsp turmeric', '½ tsp chilli powder', '1 tsp mango powder (amchoor)', '½\xa0tsp salt', '1 tsp sugar', '8 baby aubergine', '3 tbsp mustard oil']","['Mix all the spices & salt together in a bowl.', 'Slit the aubergines with a cross.', 'Heat oil in a heavy based pan with a lid.', 'Stuff the spice mix into the inside flesh of the auberines.', 'Rub the outside of the aubergines with any remaining spice mix.', 'Place them in the pan and cover the pan. Leave them to cook on a gentle heat.', 'Turn over using some tongs after about 10 minutes. Turn again after another 10 minutes. Cook them for about 25-30 mins until they are soft and tender.']",5,25
Anda di Purjee (Bhurji),Indian Scrambled Eggs,mild,39316,4.5,21.0,4.0,['VEGETARIAN'],"['2 tsp butter', '8 large free range eggs', '3 spring onions, sliced including green bits', '3 mushrooms, diced', '1 tomato, chopped', '2 tsp garam masala', '1 or 2 chillis chopped', '½\xa0tsp chilli powder', '1 tsp salt', 'Handful of fresh coriander, chopped']","['Break the eggs into a bowl and whisk.', 'Heat butter in a frying pan.', 'Add the sliced onions and fry to soften.', 'Add the mushrooms and tomatoes (and other veg) and fry for a few minutes to cook through.', 'Add the garam masala, chopped chilli, chilli powder, salt and stir for a second then add eggs and stir to scramble.', 'Remove from heat and add coriander.']",5,10
Asparagus and Pea Soup with Parsnip Crisps,Healthy asparagus and pea soup,none,21844,4.5,11.0,4.0,['VEGETARIAN'],"['1 tbsp butter', '2 cloves garlic, finely chopped', '1 onion, chopped', '1 tbsp plain flour', '340g asparagus', '250g peas', 'pinch cracked black pepper, or to taste', 'Salt to taste']","['Heat butter in a pan and add the garlic. Cook to soften then stir in the chopped onion.', 'Stir and leave to cook for 2 or 3 minutes.', 'Stir in flour and roast for a minute or so to lose the rawness.', 'Add 500ml of water and stir ensuring there are no lumps.', 'Add the asparagus, peas, salt and pepper and bring to the boil', 'Leave the pan to simmer until asparagus has cooked (about 15-20 minutes).', 'Pour the soup into a blender and blitz until smooth.', 'Pour through a strainer and return to the heat for a few minutes, check the\xa0seasoning then remove from the heat.']",10,30
Asparagus with Indian Spices,15 mins,mild,76735,3.5,71.0,4.0,['VEGETARIAN'],"['2 garlic cloves', '3cm piece ginger', '500g Asparagus, chopped', '3 tsp rapeseed oil', '1 tsp cumin seeds', '½ tsp fennel seeds', '1 onion, sliced', '1 green chillies, finely chopped', '1 tsp Kashmiri chilli powder', '½ tsp amchoor powder (dried mango powder)', '3 tomatoes, chopped finely', 'Salt to taste']","['Crush the ginger and garlic in a pestle and mortar to a paste.', 'Heat the oil in pan and on a medium heat add the cumin and fennel seeds.', 'Once sizzling and fragrant add sliced onions with the chopped green chilies and crushed ginger and garlic. Cook for about 5 minutes.', 'Add the chopped asparagus and sprinkle in the salt, red chili powder and amchoor.', 'Add chopped tomatoes and cook for about 2-3 minutes.']",5,10
Athrak Soup,Ginger soup,medium,120518,3.6,70.0,4.0,['VEGETARIAN'],"['5cm piece of fresh ginger, roughly chopped', '1 fresh chilli, chopped', '3 cloves of garlic', '200g of tinned tomatoes', '200ml water']","['Put all the ginger, chilli, garlic, into a blender and blend to a paste. Then add the tomatoes and water.']",5,15
Avocado Salsa,15 mins,hot,39046,4.0,15.0,6.0,['VEGETARIAN'],"['1 ripe avocado', '1 red onion', '1 chilli, finely chopped', 'Juice from 1 lemon', 'Small handful of fresh coriander, chopped']","['Cut the avocado and onion into very small dices and place in a bowl.', 'Add chilli, lemon juice and coriander and stir together.', 'Leave for a few minutes and serve.']",10,5
Black Chana Masala,Kala Chana,medium,30155,3.6,18.0,4.0,['VEGETARIAN'],"['175g dried black chickpeas (400g tin cooked chickpeas)', '2 tbsp oil/ghee', '1 tsp cumin seeds', '1 large onion, finely minced', '5cm piece ginger, minced', '4 garlic cloves, minced', '1–2 green chilis, minced', '200g chopped tomatoes tinned/fresh', '1 tsp salt', '1 tsp chilli powder', '½ tsp turmeric', '1 tsp kasoori methi (fenugreek leaves)', '1 tsp coriander powder', '1 tsp garam masala', 'Handful coriander chopped', 'Juice of 1 lemon']","['Wash the dried black chickpeas and soak in 1.5L of water overnight or in boiling water for a minimum 6 hours.', 'Drain the chickpeas and rinse in fresh water.', 'Heat oil in a pressure cooker and add cumin seeds. When they become aromatic add the finely chopped onions.', 'Saute until they are golden brown then add garlic and stir for a minute or two.', 'Pour in the tomatoes then add in the ginger and chillies. Mix together until the tomatoes start to break down and the masala thickens a little.', 'Stir in the salt, chilli powder, turmeric, kasoori methi, coriander powder and mix well.', 'Once the tomatoes have broken down a little, the spices and onions have melted together to create a thick paste add the black chickpeas and 750ml water.', 'Put the lid on the pressure cooker and cook under high pressure for 30 minutes. If you are doing this on the stove top in a regular pan this will take about 2 hours to cook.', 'After 30 minutes, let the pressure release before opening. Check the chana is cooked and tender – these do stay a little harder than white chickpeas.', 'Bring to a simmer and if you want more of a gravy you can add water and let it simmer for a while.', 'Once you are happy with the consistency add the garam masala and fresh coriander. I like to squeeze in some lemon juice too before serving.']",20,40
Black Lentil and Split Chickpea Dhal,Mahaar Chole di Dhal,medium,57420,3.7,39.0,4.0,['VEGETARIAN'],"['100g split chickpeas (chana)', '100g urid beans, washed and checked for stones', '1L water', '1 tsp salt']","['Put the lentils in the pressure cooker and add 1L of cold water.', 'Add 1 tsp of salt put the lid on the pan and bring to the boil. Let the pan come to temperature and whistle once, then reduce the heat and leave to simmer for 30 minutes. After this time remove from the\xa0heat and leave the pan to cool - DO NOT REMOVE THE LID.']",10,40
Brown Masala Sauce,Daag,medium,81062,3.8,58.0,8.0,['LACTOSE-FREE'],"['2 tbsp of oil', '4\xa0onions, finely diced', '6 cloves of garlic, finely chopped', '800g plum tomatoes', '8cm piece of fresh ginger, grated', 'salt to taste', '1½ tsp turmeric', 'Handful of coriander stalks, finely chopped', '3 fresh green chillies, finely chopped', '½ tsp chilli powder', '2 tsp of garam masala', 'Handful of coriander leaves, chopped']","['Heat oil in a pan and add the onion. Fry on a high heat for a few minutes then reduce the heat and cook gently.', 'Add the finely chopped garlic and continue to cook gently for at least 30 minutes until the onions turn a really dark golden brown.', 'Once brown and caramelised\xa0add the tomatoes, ginger, salt, turmeric, coriander stalks and chopped chillies and chilli powder.', 'Let the onions, tomatoes and spices melt together creating a thick aromatic masala paste. This will take about 5-10 minutes so be patient!', 'This masala can then be used for your dish or you can cool it down and freeze it in tubs. Just defrost as and when needed.']",10,40
Caribbean Chicken Curry Stew,Chicken Stew with Burnt Sugar,hot,14149,3.8,17.0,4.0,['LACTOSE-FREE'],['1 whole chicken or 8 pieces of chicken on the bone'],"['Prep your chicken by cutting it into thigh, drumsticks, wings and breasts into pieces leaving the skin on.', 'Mince the ginger, garlic, salt, black pepper, green part of the spring onion, parsley, coriander and scotch bonnet (if using) but you can opt for a milder chilli if you prefer.', 'Marinade your chicken with the skin on for approx. 3 hours', 'Heat a pan with the oil and add the sugar. Let it melt until it starts to bubble and goes dark in colour.', 'It will turn frothy and look almost burnt, then stir in the curry powder.', 'Once sizzling and aromatic place the marinated chicken into the pan to brown. You may have to do this in batches. Let it darken and crisp.', 'Pour in the water or stock to cover the chicken and add a bay leaf, 2 sprigs of thyme a whole scotch bonnet and bring to the boil.', 'Reduce to a simmer and leave to cook for 30 minutes.', 'Stir in a shot of rum and simmer for another few minutes.', 'The chicken should be fragrant and falling away from the bone.', 'Slice the onion whites and sprinkle over the chicken - serve with some rice and peas.']",10,30
Cauliflower Shorba,Cauliflower Soup,mild,32101,3.8,27.0,4.0,['VEGETARIAN'],"['2 tbsp oil', '1 bay leaf', '6 cloves of garlic, sliced', '1 green chilli', '1 tsp salt', '1 small cauliflower, chopped', '750ml water', '1 tsp cumin, roasted and roughly crushed']","['Heat oil and add a bay leaf. Stir in the garlic and sauté until brown.', 'Roughly chop the chilli and add to the pan.', 'Add the chopped cauliflower and salt then cover with the water and bring to the boil. (You could use a stock.)', 'Leave to simmer for about 20-30 minutes until the cauliflower is soft.', 'Remove the bayleaf and blitz the soup in a liquidiser.', 'Return to the stove and simmer for 5 minutes.', 'Serve in small bowls topped with a sprinkling of roasted cumin seeds.']",10,30
Chana Masala,Tea-Infused Chickpea Curry,medium,64990,3.5,76.0,6.0,['VEGETARIAN'],"['300g dried chickpeas (or 400g tin of cooked)', '1 black tea bag', '4cm piece ginger', '2 green chillies', '2 medium tomatoes', '1 tbsp rapeseed oil', '2 medium onions, thinly sliced', '3 cloves of garlic, sliced', '1 tsp Kashmiri chilli powder', '1 tsp coriander powder', '2 tsp cumin seeds', '2 tsp pomegranate powder', '½ tsp black salt', 'salt to taste', '½ tsp garam masala', '1 tbsp lemon juice', 'Fresh coriander, roughly chopped for garnish', '1 tsp chaat masala']","['Soak the dried chickpeas in about 1.5L of water overnight.', 'Drain and place in a large saucepan with fresh water. Add\xa0the\xa0tea bag and bring to a boil.\xa0Reduce the heat and leave them to simmer for 1½ hours until the chickpeas are tender.', 'Drain, discard the tea bag but keep the cooking liquid.', 'Mash a few of the chickpeas with a potato masher.']",10,30
